Uppsala län	Tierp	1,509E+05	1,318E+05	1,367E+05	1,359E+05	1,334E+05	1,292E+05	1,244E+05	1,199E+05	1,182E+05	1,142E+05	1,167E+05
Uppsala län	Uppsala	8,994E+05	9,326E+05	8,868E+05	9,485E+05	7,929E+05	7,159E+05	7,341E+05	6,323E+05	6,468E+05	6,746E+05	6,141E+05
Uppsala län	Enköping	2,069E+05	1,834E+05	1,802E+05	1,930E+05	1,863E+05	1,788E+05	1,752E+05	1,712E+05	1,703E+05	1,654E+05	1,648E+05
Uppsala län	Östhammar	1,539E+05	1,233E+05	1,131E+05	9,797E+04	9,416E+04	9,115E+04	9,127E+04	8,838E+04	8,245E+04	8,116E+04	8,507E+04
Södermanlands län	Vingåker	4,785E+04	4,205E+04	4,191E+04	3,532E+04	3,387E+04	3,231E+04	3,224E+04	3,051E+04	3,015E+04	2,945E+04	2,978E+04
Södermanlands län	Gnesta	4,889E+04	4,558E+04	3,596E+04	3,026E+04	2,905E+04	2,796E+04	2,767E+04	2,642E+04	2,608E+04	2,525E+04	2,217E+04
Södermanlands län	Nyköping	4,316E+05	2,991E+05	2,606E+05	2,725E+05	2,640E+05	2,536E+05	2,432E+05	2,337E+05	2,345E+05	2,259E+05	2,221E+05
Södermanlands län	Oxelösund	2,272E+06	2,487E+06	2,606E+06	2,240E+06	1,978E+06	1,614E+06	1,538E+06	1,608E+06	2,243E+06	1,579E+06	1,610E+06
Södermanlands län	Flen	8,201E+04	7,164E+04	6,312E+04	5,976E+04	5,623E+04	5,352E+04	5,261E+04	5,069E+04	5,092E+04	4,894E+04	4,668E+04
Södermanlands län	Katrineholm	2,035E+05	1,109E+05	1,080E+05	1,011E+05	9,722E+04	9,274E+04	9,118E+04	8,724E+04	8,376E+04	8,129E+04	7,908E+04
Södermanlands län	Eskilstuna	2,866E+05	3,012E+05	2,459E+05	2,444E+05	2,186E+05	1,967E+05	1,927E+05	1,872E+05	1,849E+05	1,844E+05	2,089E+05
Södermanlands län	Strängnäs	1,481E+05	1,526E+05	1,583E+05	1,264E+05	1,224E+05	1,345E+05	1,232E+05	1,184E+05	1,126E+05	1,066E+05	1,116E+05
Södermanlands län	Trosa	5,672E+04	5,477E+04	5,197E+04	5,295E+04	5,241E+04	4,917E+04	4,792E+04	4,659E+04	4,683E+04	4,523E+04	4,352E+04
