Parameter	Chlorophyll_a	Basin	LARGE_basin
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,47	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,60	Arkona	Arkona
Chlorophyll_a	1,60	Arkona	Arkona
Chlorophyll_a	1,60	Arkona	Arkona
Chlorophyll_a	1,60	Arkona	Arkona
Chlorophyll_a	1,60	Arkona	Arkona
Chlorophyll_a	1,60	Arkona	Arkona
Chlorophyll_a	1,60	Arkona	Arkona
Chlorophyll_a	1,60	Arkona	Arkona
Chlorophyll_a	1,60	Arkona	Arkona
Chlorophyll_a	1,70	Arkona	Arkona
Chlorophyll_a	1,70	Arkona	Arkona
Chlorophyll_a	1,70	Arkona	Arkona
Chlorophyll_a	1,70	Arkona	Arkona
Chlorophyll_a	1,70	Arkona	Arkona
Chlorophyll_a	1,70	Arkona	Arkona
Chlorophyll_a	1,70	Arkona	Arkona
Chlorophyll_a	1,70	Arkona	Arkona
Chlorophyll_a	1,70	Arkona	Arkona
Chlorophyll_a	1,70	Arkona	Arkona
Chlorophyll_a	1,70	Arkona	Arkona
Chlorophyll_a	1,80	Arkona	Arkona
Chlorophyll_a	1,80	Arkona	Arkona
Chlorophyll_a	1,80	Arkona	Arkona
Chlorophyll_a	1,80	Arkona	Arkona
Chlorophyll_a	1,80	Arkona	Arkona
Chlorophyll_a	1,80	Arkona	Arkona
Chlorophyll_a	1,80	Arkona	Arkona
Chlorophyll_a	1,80	Arkona	Arkona
Chlorophyll_a	1,80	Arkona	Arkona
Chlorophyll_a	1,80	Arkona	Arkona
Chlorophyll_a	1,80	Arkona	Arkona
Chlorophyll_a	1,80	Arkona	Arkona
Chlorophyll_a	1,80	Oresund 	Arkona
Chlorophyll_a	1,85	Arkona	Arkona
Chlorophyll_a	1,90	Arkona	Arkona
Chlorophyll_a	1,90	Arkona	Arkona
Chlorophyll_a	1,90	Arkona	Arkona
Chlorophyll_a	1,90	Arkona	Arkona
Chlorophyll_a	1,90	Arkona	Arkona
Chlorophyll_a	1,90	Arkona	Arkona
Chlorophyll_a	1,90	Arkona	Arkona
Chlorophyll_a	1,90	Arkona	Arkona
Chlorophyll_a	1,90	Arkona	Arkona
Chlorophyll_a	1,90	Arkona	Arkona
Chlorophyll_a	1,90	Arkona	Arkona
Chlorophyll_a	1,90	Arkona	Arkona
Chlorophyll_a	2,00	Arkona	Arkona
Chlorophyll_a	2,00	Arkona	Arkona
Chlorophyll_a	2,00	Arkona	Arkona
Chlorophyll_a	2,00	Arkona	Arkona
Chlorophyll_a	2,00	Arkona	Arkona
Chlorophyll_a	2,00	Arkona	Arkona
Chlorophyll_a	2,00	Arkona	Arkona
Chlorophyll_a	2,00	Arkona	Arkona
Chlorophyll_a	2,00	Arkona	Arkona
Chlorophyll_a	2,00	Arkona	Arkona
Chlorophyll_a	2,00	Arkona	Arkona
Chlorophyll_a	2,00	Arkona	Arkona
Chlorophyll_a	2,00	Arkona	Arkona
Chlorophyll_a	2,00	Arkona	Arkona
Chlorophyll_a	2,01	Arkona	Arkona
Chlorophyll_a	2,10	Arkona	Arkona
Chlorophyll_a	2,10	Arkona	Arkona
Chlorophyll_a	2,10	Arkona	Arkona
Chlorophyll_a	2,10	Arkona	Arkona
Chlorophyll_a	2,10	Arkona	Arkona
Chlorophyll_a	2,10	Arkona	Arkona
Chlorophyll_a	2,10	Arkona	Arkona
Chlorophyll_a	2,10	Arkona	Arkona
Chlorophyll_a	2,20	Arkona	Arkona
Chlorophyll_a	2,20	Arkona	Arkona
Chlorophyll_a	2,20	Arkona	Arkona
Chlorophyll_a	2,20	Arkona	Arkona
Chlorophyll_a	2,20	Arkona	Arkona
Chlorophyll_a	2,20	Arkona	Arkona
Chlorophyll_a	2,20	Arkona	Arkona
Chlorophyll_a	2,20	Arkona	Arkona
Chlorophyll_a	2,20	Arkona	Arkona
Chlorophyll_a	2,20	Arkona	Arkona
Chlorophyll_a	2,20	Arkona	Arkona
Chlorophyll_a	2,20	Arkona	Arkona
Chlorophyll_a	2,20	Arkona	Arkona
Chlorophyll_a	2,20	Arkona	Arkona
Chlorophyll_a	2,30	Arkona	Arkona
Chlorophyll_a	2,30	Arkona	Arkona
Chlorophyll_a	2,30	Arkona	Arkona
Chlorophyll_a	2,30	Arkona	Arkona
Chlorophyll_a	2,30	Arkona	Arkona
Chlorophyll_a	2,30	Arkona	Arkona
Chlorophyll_a	2,30	Arkona	Arkona
Chlorophyll_a	2,30	Arkona	Arkona
Chlorophyll_a	2,30	Arkona	Arkona
Chlorophyll_a	2,30	Arkona	Arkona
Chlorophyll_a	2,30	Arkona	Arkona
Chlorophyll_a	2,30	Arkona	Arkona
Chlorophyll_a	2,40	Arkona	Arkona
Chlorophyll_a	2,40	Arkona	Arkona
Chlorophyll_a	2,40	Arkona	Arkona
Chlorophyll_a	2,40	Arkona	Arkona
Chlorophyll_a	2,40	Arkona	Arkona
Chlorophyll_a	2,40	Arkona	Arkona
Chlorophyll_a	2,40	Arkona	Arkona
Chlorophyll_a	2,40	Arkona	Arkona
Chlorophyll_a	2,40	Arkona	Arkona
Chlorophyll_a	2,40	Arkona	Arkona
Chlorophyll_a	2,40	Arkona	Arkona
Chlorophyll_a	2,50	Arkona	Arkona
Chlorophyll_a	2,50	Arkona	Arkona
Chlorophyll_a	2,50	Arkona	Arkona
Chlorophyll_a	2,50	Arkona	Arkona
Chlorophyll_a	2,50	Arkona	Arkona
Chlorophyll_a	2,50	Arkona	Arkona
Chlorophyll_a	2,50	Arkona	Arkona
Chlorophyll_a	2,60	Arkona	Arkona
Chlorophyll_a	2,60	Arkona	Arkona
Chlorophyll_a	2,60	Arkona	Arkona
Chlorophyll_a	2,60	Arkona	Arkona
Chlorophyll_a	2,60	Arkona	Arkona
Chlorophyll_a	2,70	Arkona	Arkona
Chlorophyll_a	2,70	Arkona	Arkona
Chlorophyll_a	2,70	Arkona	Arkona
Chlorophyll_a	2,70	Arkona	Arkona
Chlorophyll_a	2,70	Arkona	Arkona
Chlorophyll_a	2,70	Arkona	Arkona
Chlorophyll_a	2,80	Arkona	Arkona
Chlorophyll_a	2,80	Arkona	Arkona
Chlorophyll_a	2,80	Arkona	Arkona
Chlorophyll_a	2,90	Arkona	Arkona
Chlorophyll_a	2,90	Arkona	Arkona
Chlorophyll_a	2,90	Arkona	Arkona
Chlorophyll_a	2,90	Arkona	Arkona
Chlorophyll_a	2,90	Arkona	Arkona
Chlorophyll_a	2,90	Arkona	Arkona
Chlorophyll_a	2,90	Arkona	Arkona
Chlorophyll_a	2,90	Arkona	Arkona
Chlorophyll_a	2,90	Arkona	Arkona
Chlorophyll_a	3,00	Arkona	Arkona
Chlorophyll_a	3,00	Arkona	Arkona
Chlorophyll_a	3,10	Arkona	Arkona
Chlorophyll_a	3,10	Arkona	Arkona
Chlorophyll_a	3,10	Arkona	Arkona
Chlorophyll_a	3,10	Arkona	Arkona
Chlorophyll_a	3,10	Arkona	Arkona
Chlorophyll_a	3,20	Arkona	Arkona
Chlorophyll_a	3,20	Arkona	Arkona
Chlorophyll_a	3,20	Arkona	Arkona
Chlorophyll_a	3,20	Arkona	Arkona
Chlorophyll_a	3,30	Arkona	Arkona
Chlorophyll_a	3,30	Arkona	Arkona
Chlorophyll_a	3,40	Arkona	Arkona
Chlorophyll_a	3,40	Arkona	Arkona
Chlorophyll_a	3,40	Arkona	Arkona
Chlorophyll_a	3,40	Arkona	Arkona
Chlorophyll_a	3,40	Arkona	Arkona
Chlorophyll_a	3,40	Arkona	Arkona
Chlorophyll_a	3,40	Arkona	Arkona
Chlorophyll_a	3,50	Arkona	Arkona
Chlorophyll_a	3,50	Arkona	Arkona
Chlorophyll_a	3,50	Arkona	Arkona
Chlorophyll_a	3,60	Arkona	Arkona
Chlorophyll_a	3,60	Arkona	Arkona
Chlorophyll_a	3,60	Arkona	Arkona
Chlorophyll_a	3,70	Arkona	Arkona
Chlorophyll_a	3,70	Arkona	Arkona
Chlorophyll_a	3,70	Arkona	Arkona
Chlorophyll_a	3,70	Arkona	Arkona
Chlorophyll_a	3,80	Arkona	Arkona
Chlorophyll_a	3,90	Arkona	Arkona
Chlorophyll_a	4,00	Arkona	Arkona
Chlorophyll_a	4,10	Arkona	Arkona
Chlorophyll_a	4,40	Arkona	Arkona
Chlorophyll_a	4,50	Arkona	Arkona
Chlorophyll_a	4,50	Arkona	Arkona
Chlorophyll_a	4,50	Arkona	Arkona
Chlorophyll_a	4,50	Arkona	Arkona
Chlorophyll_a	4,60	Arkona	Arkona
Chlorophyll_a	4,60	Arkona	Arkona
Chlorophyll_a	4,60	Arkona	Arkona
Chlorophyll_a	4,60	Arkona	Arkona
Chlorophyll_a	4,70	Arkona	Arkona
Chlorophyll_a	5,20	Arkona	Arkona
Chlorophyll_a	5,20	Arkona	Arkona
Chlorophyll_a	5,30	Arkona	Arkona
Chlorophyll_a	5,60	Arkona	Arkona
Chlorophyll_a	5,70	Arkona	Arkona
Chlorophyll_a	5,70	Arkona	Arkona
Chlorophyll_a	5,80	Arkona	Arkona
Chlorophyll_a	6,00	Arkona	Arkona
Chlorophyll_a	6,10	Arkona	Arkona
Chlorophyll_a	6,40	Arkona	Arkona
Chlorophyll_a	6,90	Arkona	Arkona
Chlorophyll_a	7,00	Arkona	Arkona
Chlorophyll_a	7,70	Arkona	Arkona
Chlorophyll_a	7,80	Arkona	Arkona
Chlorophyll_a	8,00	Arkona	Arkona
Chlorophyll_a	8,10	Arkona	Arkona
Chlorophyll_a	0,01	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,10	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,10	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,10	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,10	West Gotlandshavet	BalticProper
Chlorophyll_a	0,10	West Gotlandshavet	BalticProper
Chlorophyll_a	0,10	West Gotlandshavet	BalticProper
Chlorophyll_a	0,10	West Gotlandshavet	BalticProper
Chlorophyll_a	0,10	West Gotlandshavet	BalticProper
Chlorophyll_a	0,10	West Gotlandshavet	BalticProper
Chlorophyll_a	0,10	West Gotlandshavet	BalticProper
Chlorophyll_a	0,10	West Gotlandshavet	BalticProper
Chlorophyll_a	0,10	West Gotlandshavet	BalticProper
Chlorophyll_a	0,10	West Gotlandshavet	BalticProper
Chlorophyll_a	0,10	West Gotlandshavet	BalticProper
Chlorophyll_a	0,15	West Gotlandshavet	BalticProper
Chlorophyll_a	0,16	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,20	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,20	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,20	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,20	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,20	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,20	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,20	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	West Gotlandshavet	BalticProper
Chlorophyll_a	0,20	Bornholm_Hano	BalticProper
Chlorophyll_a	0,21	West Gotlandshavet	BalticProper
Chlorophyll_a	0,21	West Gotlandshavet	BalticProper
Chlorophyll_a	0,22	West Gotlandshavet	BalticProper
Chlorophyll_a	0,23	West Gotlandshavet	BalticProper
Chlorophyll_a	0,23	West Gotlandshavet	BalticProper
Chlorophyll_a	0,23	West Gotlandshavet	BalticProper
Chlorophyll_a	0,24	West Gotlandshavet	BalticProper
Chlorophyll_a	0,25	West Gotlandshavet	BalticProper
Chlorophyll_a	0,26	West Gotlandshavet	BalticProper
Chlorophyll_a	0,26	West Gotlandshavet	BalticProper
Chlorophyll_a	0,27	West Gotlandshavet	BalticProper
Chlorophyll_a	0,27	West Gotlandshavet	BalticProper
Chlorophyll_a	0,28	West Gotlandshavet	BalticProper
Chlorophyll_a	0,29	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,29	 Norra Gotlandshavet	BalticProper
